country,country_code,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,BRA,Latin America & Caribbean,"(72179235.0, nan, 54.143)","(74311338.0, nan, 54.634)","(76514329.0, nan, 55.13)","(78772647.0, nan, 55.627)","(81064572.0, nan, 56.121)","(83373533.0, nan, 56.61)","(85696502.0, nan, 57.091)","(88035815.0, nan, 57.563)","(90387079.0, nan, 58.025)","(92746607.0, nan, 58.475)","(95113265.0, nan, 58.911)","(97482928.0, nan, 59.332)","(99859388.0, nan, 59.739)","(102259497.0, nan, 60.132)","(104706193.0, nan, 60.513)","(107216209.0, nan, 60.884)","(109790943.0, nan, 61.243)","(112425392.0, nan, 61.595)","(115121158.0, nan, 61.942)","(117878412.0, nan, 62.286)","(120694012.0, nan, 62.63)","(123570327.0, nan, 62.976)","(126498322.0, 1452.86979479459, 63.326)","(129448815.0, 1646.95440967922, 63.68)","(132383569.0, 1515.04529836867, 64.039)","(135274083.0, 1615.83698390037, 64.406)","(138108915.0, 1928.28892763049, 64.782)","(140891606.0, 2082.19875145427, 65.165)","(143627505.0, 2299.70677309991, 65.553)","(146328305.0, 2908.49613818735, 65.947)","(149003225.0, 3100.28042681627, 66.343)","(151648007.0, 3975.39019421469, 66.742)","(154259382.0, 2596.91984245081, 67.141)","(156849086.0, 2791.20898186013, 67.539)","(159432717.0, 3500.61146795399, 67.932)","(162019889.0, 4748.21573407477, 68.318)","(164614682.0, 5166.16393300655, 68.695)","(167209046.0, 5282.0086380056, 69.061)","(169785253.0, 5087.15213112718, 69.419)","(172318674.0, 3478.37275016214, 69.769)","(174790339.0, 3749.75327141454, 70.116)","(177196051.0, 3156.7987713336, 70.462)","(179537523.0, 2829.28314489459, 70.813)","(181809244.0, 3070.91052439544, 71.17)","(184006479.0, 3637.46242879358, 71.531)","(186127108.0, 4790.43695908641, 71.896)","(188167353.0, 5886.46368222667, 72.26)","(190130445.0, 7348.03071626086, 72.618)","(192030362.0, 8831.02311697566, 72.966)","(193886505.0, 8597.91548455152, 73.3)","(195713637.0, 11286.2429009115, 73.619)","(197514541.0, 13245.6120301146, 73.921)","(199287292.0, 12370.0244490002, 74.209)","(201035904.0, 12300.324821091, 74.483)","(202763744.0, 12112.5876683327, 74.745)","(204471759.0, 8814.00141787464, 74.994)","(206163056.0, 8710.09677403838, 75.23)","(207833825.0, 9928.6430632111, 75.456)","(209469320.0, 9151.44525254365, 75.672)","(211049519.0, 8897.48777044292, 75.881)","(212559409.0, 6796.84454227877, nan)"
Barbados,BRB,Latin America & Caribbean,"(230985.0, nan, 64.472)","(231718.0, nan, 65.198)","(232623.0, nan, 65.831)","(233632.0, nan, 66.381)","(234588.0, nan, 66.86)","(235415.0, nan, 67.275)","(236084.0, nan, 67.628)","(236661.0, nan, 67.928)","(237241.0, nan, 68.187)","(237963.0, nan, 68.421)","(238895.0, nan, 68.65)","(240093.0, nan, 68.89)","(241523.0, nan, 69.149)","(243076.0, nan, 69.436)","(244643.0, 1274.54837242167, 69.756)","(246158.0, 1633.82301212861, 70.113)","(247584.0, 1760.66009350232, 70.509)","(248931.0, 1988.89518753808, 70.931)","(250200.0, 2209.76701460887, 71.364)","(251347.0, 2667.07958378409, 71.8)","(252388.0, 4010.81118962834, 72.222)","(253296.0, 4398.8248657733, 72.618)","(254078.0, 4580.97053014615, 72.98)","(254791.0, 4851.0995550743, 73.303)","(255493.0, 5271.7298364272, 73.585)","(256260.0, 5500.41411424655, 73.825)","(257117.0, 6019.6532443006, 74.029)","(258012.0, 6605.77921864545, 74.206)","(258970.0, 6999.87611601587, 74.372)","(259961.0, 7717.17744895403, 74.534)","(260933.0, 7711.29545617628, 74.704)","(261912.0, 7714.74274597281, 74.892)","(262890.0, 7444.1781733805, 75.101)","(263869.0, 7819.57000268592, 75.332)","(264893.0, 8121.56191861473, 75.583)","(265955.0, 8335.89929257052, 75.852)","(267047.0, 8851.04645800324, 76.131)","(268183.0, 9315.96756568231, 76.41)","(269334.0, 10459.4424704914, 76.68)","(270455.0, 10914.2822448996, 76.933)","(271511.0, 11268.4200640121, 77.162)","(272494.0, 11209.4211248688, 77.362)","(273423.0, 11361.5167707179, 77.534)","(274331.0, 11699.3704685216, 77.682)","(275283.0, 12512.5779652212, 77.808)","(276320.0, 13822.7417486972, 77.915)","(277475.0, 15199.5675286062, 78.009)","(278701.0, 16770.6610309974, 78.097)","(279946.0, 17092.5821408414, 78.184)","(281107.0, 15885.410181888, 78.272)","(282131.0, 16056.3709766031, 78.364)","(282987.0, 16458.3532105715, 78.456)","(283698.0, 16249.6739490585, 78.547)","(284294.0, 16451.2793094473, 78.633)","(284825.0, 16489.0722373387, 78.717)","(285327.0, 16524.899501274, 78.801)","(285798.0, 16900.0482858522, 78.888)","(286229.0, 17391.6689084614, 78.981)","(286640.0, 17745.2553725928, 79.081)","(287021.0, 18148.4978451054, 79.19)","(287371.0, 15191.1640353411, nan)"
Brunei Darussalam,BRN,East Asia & Pacific,"(81707.0, nan, 54.81)","(85560.0, nan, 55.81)","(89484.0, nan, 56.805)","(93540.0, nan, 57.756)","(97819.0, nan, 58.638)","(102390.0, 1113.78304185271, 59.434)","(107274.0, 1237.5635792503, 60.147)","(112446.0, 1236.41966434465, 60.803)","(117897.0, 1364.0659775422, 61.422)","(123596.0, 1304.34067194988, 62.013)","(129530.0, 1382.53763072231, 62.582)","(135672.0, 1455.8875762271, 63.134)","(142015.0, 1906.97148768455, 63.671)","(148516.0, 2916.13027269299, 64.196)","(155069.0, 6923.22182797073, 64.709)","(161635.0, 7228.04037278514, 65.209)","(168173.0, 8461.88958183312, 65.696)","(174717.0, 9917.30147004135, 66.164)","(181201.0, 10715.1765365863, 66.61)","(187596.0, 14945.8410921249, 67.031)","(193880.0, 25422.0391890215, 67.425)","(200027.0, 21828.1224513509, 67.786)","(206064.0, 20693.8249109432, 68.117)","(212073.0, 18129.2439039929, 68.421)","(218176.0, 17337.0264761605, 68.7)","(224440.0, 15699.5747775143, 68.96)","(230917.0, 10214.0284912819, 69.208)","(237565.0, 11594.5675406595, 69.45)","(244405.0, 11009.2573850071, 69.691)","(251456.0, 11872.7251657755, 69.935)","(258714.0, 13607.8902731894, 70.185)","(266208.0, 13905.1683366332, 70.439)","(273888.0, 15274.6677075047, 70.696)","(281684.0, 14575.5745862436, 70.951)","(289452.0, 14120.9525583928, 71.207)","(297112.0, 15933.4528281823, 71.465)","(304620.0, 16793.3912313027, 71.727)","(311962.0, 16660.1476273967, 71.994)","(319135.0, 12694.1489574427, 72.265)","(326214.0, 14101.1728497244, 72.538)","(333166.0, 18012.5021948953, 72.809)","(340037.0, 16472.0032948215, 73.076)","(346777.0, 16850.3940790817, 73.332)","(353295.0, 18560.5035016224, 73.575)","(359434.0, 21902.0271176465, 73.801)","(365112.0, 26105.4220290571, 74.006)","(370262.0, 30979.9628427354, 74.189)","(374967.0, 32663.3923711414, 74.351)","(379418.0, 37934.6764481019, 74.494)","(383902.0, 27956.0051426256, 74.623)","(388634.0, 35270.6421390658, 74.74)","(393687.0, 47055.960643203, 74.852)","(398997.0, 47739.5576931563, 74.962)","(404414.0, 44740.8594244355, 75.075)","(409778.0, 41725.8675220155, 75.193)","(414914.0, 31164.0362528468, 75.318)","(419791.0, 27158.4056535724, 75.45)","(424481.0, 28571.608291419, 75.585)","(428960.0, 31628.4762566009, 75.722)","(433296.0, 31085.9618860822, 75.86)","(437483.0, 27466.3396414199, nan)"
Bhutan,BTN,South Asia,"(223284.0, nan, 34.526)","(228849.0, nan, 34.889)","(234552.0, nan, 35.29)","(240529.0, nan, 35.734)","(246961.0, nan, 36.22)","(253993.0, nan, 36.745)","(261664.0, nan, 37.303)","(269944.0, nan, 37.882)","(278731.0, nan, 38.469)","(287886.0, nan, 39.057)","(297307.0, nan, 39.635)","(306957.0, nan, 40.194)","(316822.0, nan, 40.735)","(326986.0, nan, 41.263)","(337491.0, nan, 41.784)","(348395.0, nan, 42.311)","(359721.0, nan, 42.861)","(371424.0, nan, 43.447)","(383324.0, nan, 44.077)","(395192.0, nan, 44.751)","(406883.0, 316.349935761632, 45.464)","(418107.0, 332.810599463172, 46.204)","(428938.0, 329.573352036164, 46.954)","(439823.0, 356.250564578573, 47.702)","(451471.0, 355.415897221933, 48.442)","(464264.0, 351.679895132503, 49.173)","(478683.0, 399.493500097155, 49.901)","(494313.0, 491.127810881653, 50.632)","(509532.0, 534.296187936104, 51.372)","(522173.0, 506.968393522593, 52.122)","(530801.0, 541.93225710575, 52.878)","(534637.0, 449.501242155823, 53.633)","(534525.0, 449.400428209885, 54.384)","(532590.0, 424.337841824734, 55.131)","(531905.0, 486.901980061879, 55.878)","(534629.0, 543.301618711449, 56.636)","(541471.0, 560.391078973139, 57.418)","(551713.0, 638.485866574715, 58.236)","(564378.0, 643.988226336077, 59.089)","(577886.0, 690.912743468583, 59.974)","(591014.0, 718.196336969414, 60.884)","(603643.0, 764.432808246182, 61.808)","(616025.0, 845.500672103578, 62.728)","(627840.0, 962.095371307745, 63.624)","(638809.0, 1068.43181141275, 64.483)","(648744.0, 1228.43235572338, 65.289)","(657404.0, 1330.97744400874, 66.031)","(664873.0, 1757.19049597895, 66.709)","(671611.0, 1828.1546768491, 67.325)","(678329.0, 1819.19730959964, 67.882)","(685502.0, 2258.18643535953, 68.384)","(693297.0, 2563.261223801, 68.84)","(701582.0, 2538.94951919964, 69.263)","(710235.0, 2472.72475320595, 69.662)","(719053.0, 2652.22565438023, 70.046)","(727885.0, 2752.63017233678, 70.419)","(736706.0, 2930.5749227006, 70.781)","(745563.0, 3286.59674376682, 71.129)","(754396.0, 3243.47743748718, 71.46)","(763094.0, 3316.16702210577, 71.777)","(771612.0, 3122.37606234724, nan)"
Botswana,BWA,Sub-Saharan Africa,"(502733.0, 60.4939579983833, 49.179)","(512688.0, 64.1761395717201, 49.684)","(523777.0, 68.0503489586687, 50.171)","(535692.0, 71.1064390847651, 50.641)","(547870.0, 75.9559184671664, 51.099)","(559996.0, 81.7699943344463, 51.547)","(571957.0, 89.9795529147183, 51.991)","(584098.0, 100.405143511268, 52.435)","(596946.0, 110.97864233084, 52.885)","(611297.0, 126.545548364901, 53.346)","(627714.0, 153.32637867117, 53.824)","(646350.0, 197.194221583846, 54.327)","(667096.0, 246.541537808657, 54.853)","(689906.0, 353.858479311184, 55.398)","(714701.0, 428.198433216064, 55.957)","(741346.0, 479.091293125077, 56.524)","(769982.0, 483.141319661, 57.091)","(800532.0, 564.129010977296, 57.649)","(832467.0, 709.189337954404, 58.186)","(865073.0, 947.755045659149, 58.692)","(897860.0, 1181.61386979063, 59.174)","(930412.0, 1154.17857802724, 59.647)","(962859.0, 1054.05594644715, 60.109)","(996124.0, 1176.81953466606, 60.543)","(1031439.0, 1202.97600222274, 60.916)","(1069585.0, 1042.23975387474, 61.167)","(1110948.0, 1253.55531668926, 61.227)","(1154904.0, 1701.67813286944, 61.059)","(1200073.0, 2203.64661492462, 60.651)","(1244484.0, 2477.97535757592, 60.016)","(1286756.0, 2945.83203953801, 59.191)","(1326321.0, 2972.72895276223, 58.232)","(1363541.0, 3040.98939623392, 57.219)","(1399110.0, 2973.38040121706, 56.222)","(1434061.0, 2970.11842524935, 55.284)","(1469173.0, 3219.91424224552, 54.41)","(1504724.0, 3221.68905579312, 53.572)","(1540424.0, 3258.98242785922, 52.749)","(1575827.0, 3039.96494359519, 51.947)","(1610260.0, 3405.82105820082, 51.214)","(1643333.0, 3522.3108214571, 50.629)","(1674674.0, 3278.01607934706, 50.281)","(1704637.0, 3190.62481146154, 50.232)","(1734387.0, 4330.97236855283, 50.518)","(1765533.0, 5073.52040802149, 51.15)","(1799077.0, 5513.33106259322, 52.13)","(1835911.0, 5521.99060810445, 53.435)","(1875458.0, 5832.73705168476, 54.983)","(1915636.0, 5713.54393106428, 56.679)","(1953495.0, 5255.77653269313, 58.447)","(1987106.0, 6434.81248526822, 60.211)","(2015406.0, 7617.31004132551, 61.91)","(2039551.0, 7050.57347186681, 63.511)","(2062551.0, 7224.91273728564, 64.976)","(2088619.0, 7780.63475753974, 66.265)","(2120716.0, 6799.87017783413, 67.338)","(2159925.0, 7243.93397430839, 68.178)","(2205076.0, 7893.41867148033, 68.812)","(2254067.0, 8279.81845660293, 69.275)","(2303703.0, 7970.79696800641, 69.592)","(2351625.0, 6710.990411266, nan)"
Central African Republic,CAF,Sub-Saharan Africa,"(1501668.0, 74.6873469698836, 36.249)","(1526057.0, 80.6880637274186, 36.715)","(1551908.0, 80.2127116671332, 37.19)","(1579375.0, 81.9179092292569, 37.683)","(1608618.0, 88.2901157774413, 38.201)","(1639706.0, 91.8303746529954, 38.754)","(1673019.0, 94.398235690021, 39.355)","(1708306.0, 95.8964839249802, 40.005)","(1744198.0, 109.945910359308, 40.703)","(1778870.0, 105.707101319157, 41.444)","(1811157.0, 104.412016474153, 42.223)","(1840517.0, 109.453359228713, 43.036)","(1867786.0, 123.310651240904, 43.866)","(1894850.0, 143.115846298987, 44.695)","(1924386.0, 146.227767277778, 45.504)","(1958367.0, 193.354982118232, 46.275)","(1997017.0, 225.91317449196, 46.992)","(2039914.0, 248.686033177452, 47.648)","(2087662.0, 292.470008919633, 48.233)","(2140778.0, 327.34122487471, 48.737)","(2199359.0, 362.400148758455, 49.153)","(2264441.0, 306.832239268922, 49.476)","(2335339.0, 320.429832125767, 49.713)","(2408322.0, 273.501381836801, 49.872)","(2478382.0, 257.353636634786, 49.955)","(2542170.0, 340.20138899431, 49.966)","(2597765.0, 432.011758716722, 49.912)","(2646836.0, 453.746218486516, 49.797)","(2693974.0, 469.529167023013, 49.624)","(2745735.0, 449.398895759867, 49.397)","(2806740.0, 513.304187659237, 49.104)","(2878507.0, 478.503276361394, 48.728)","(2959236.0, 477.122324295377, 48.267)","(3046148.0, 419.802703848229, 47.731)","(3135017.0, 271.505497625502, 47.143)","(3222662.0, 346.108196202762, 46.53)","(3308235.0, 304.631075543624, 45.922)","(3392432.0, 276.421596079059, 45.353)","(3475485.0, 278.3319014924, 44.857)","(3558019.0, 280.908424234562, 44.461)","(3640421.0, 251.207291436082, 44.19)","(3722016.0, 250.357145899657, 44.061)","(3802129.0, 260.745458695544, 44.063)","(3881185.0, 293.661549027692, 44.182)","(3959883.0, 320.736812338314, 44.413)","(4038380.0, 331.163088206718, 44.744)","(4118075.0, 354.670863314704, 45.158)","(4198004.0, 404.374542914498, 45.636)","(4273368.0, 464.561204695005, 46.161)","(4337623.0, 474.705627543055, 46.719)","(4386765.0, 488.421773091439, 47.312)","(4418639.0, 551.749691833885, 47.95)","(4436411.0, 565.801164498684, 48.638)","(4447945.0, 380.297892777817, 49.371)","(4464171.0, 424.449105977749, 50.129)","(4493171.0, 377.422918968081, 50.881)","(4537683.0, 402.191634907492, 51.593)","(4596023.0, 450.900697005339, 52.24)","(4666375.0, 475.953849512777, 52.805)","(4745179.0, 467.908021751942, 53.283)","(4829764.0, 476.851112719857, nan)"
Canada,CAN,North America,"(17909009.0, 2259.29428549881, 71.1331707317073)","(18271000.0, 2240.43303945853, 71.3460975609756)","(18614000.0, 2268.58534607907, 71.3670731707317)","(18964000.0, 2374.49844764883, 71.3807317073171)","(19325000.0, 2555.11114601309, 71.7763414634146)","(19678000.0, 2770.36180408145, 71.8721951219512)","(20048000.0, 3047.10614707958, 72.0043902439024)","(20412000.0, 3217.15929360795, 72.2078048780488)","(20744000.0, 3462.67887195794, 72.3534146341463)","(21028000.0, 3763.95337938417, 72.5014634146341)","(21324000.0, 4124.62199240724, 72.7004878048781)","(21962032.0, 4520.11567981604, 73.0292682926829)","(22218463.0, 5085.67022602364, 72.9339024390244)","(22491777.0, 5838.71845834772, 73.1626829268293)","(22807969.0, 7032.88499287871, 73.2375609756098)","(23143275.0, 7511.51216265699, 73.5217073170732)","(23449808.0, 8809.01178924876, 73.8560975609756)","(23725843.0, 8919.54716948309, 74.2156097560976)","(23963203.0, 9124.01791101709, 74.529756097561)","(24201544.0, 10043.4509341662, 74.8663414634146)","(24515667.0, 11170.3072934797, 75.0780487804878)","(24819915.0, 12337.4341340449, 75.4634146341463)","(25116942.0, 12481.5215810417, 75.7634146341463)","(25366451.0, 13424.9936483607, 76.0658536585366)","(25607053.0, 13878.2855904974, 76.2170731707317)","(25842116.0, 14114.7313547014, 76.3682926829268)","(26100278.0, 14461.370443709, 76.519512195122)","(26446601.0, 16309.1812037294, 76.719512195122)","(26791747.0, 18936.9510747226, 76.919512195122)","(27276781.0, 20716.1199187744, 77.119512195122)","(27691138.0, 21448.8467711005, 77.4219512195122)","(28037420.0, 21767.8522651159, 77.6219512195122)","(28371264.0, 20879.4524030194, 77.7243902439024)","(28684764.0, 20121.3502597419, 77.8243902439025)","(29000663.0, 19934.3093100129, 77.8268292682927)","(29302311.0, 20613.1057108828, 78.0292682926829)","(29610218.0, 21227.0107042587, 78.1804878048781)","(29905948.0, 21901.5940426502, 78.4317073170732)","(30155173.0, 21024.509932241, 78.6341463414634)","(30401286.0, 22315.1742893999, 78.8853658536585)","(30685730.0, 24266.1966108955, 79.1365853658537)","(31020902.0, 23821.4455867378, 79.3390243902439)","(31360079.0, 24239.2310827263, 79.490243902439)","(31644028.0, 28302.1892350028, 79.7414634146342)","(31940655.0, 32136.7255729309, 79.8926829268293)","(32243753.0, 36394.367045082, 80.1926829268293)","(32571174.0, 40506.0344006523, 80.3439024390244)","(32889025.0, 44662.1562464915, 80.5439024390244)","(33247118.0, 46706.7008255816, 80.6951219512195)","(33628895.0, 40932.3354273994, 80.9951219512195)","(34004889.0, 47562.0834253057, 81.2463414634146)","(34339328.0, 52223.696112356, 81.4487804878049)","(34714222.0, 52669.0899632316, 81.6487804878049)","(35082954.0, 52635.1749580433, 81.7487804878049)","(35437435.0, 50955.9983232404, 81.8)","(35702908.0, 43596.1355365546, 81.9)","(36109487.0, 42315.6037056806, 81.9)","(36545295.0, 45129.3564395662, 81.9)","(37065178.0, 46453.9018668031, 82.0487804878049)","(37593384.0, 46326.6726375572, 82.0487804878049)","(38005238.0, 43241.6178282827, nan)"
Switzerland,CHE,Europe & Central Asia,"(5327827.0, 1787.36034770201, 71.3134146341463)","(5434294.0, 1971.31632279228, 71.6448780487805)","(5573815.0, 2131.39165159983, 71.1960975609756)","(5694247.0, 2294.18284731738, 71.1875609756098)","(5789228.0, 2501.29318996377, 72.0778048780488)","(5856472.0, 2620.475547353, 72.2017073170732)","(5918002.0, 2784.73354771646, 72.3356097560976)","(5991785.0, 2960.72258588384, 72.6365853658537)","(6067714.0, 3121.8890308772, 72.590243902439)","(6136387.0, 3344.78360254639, 72.6126829268293)","(6180877.0, nan, 73.020243902439)","(6213399.0, nan, 73.1307317073171)","(6260956.0, nan, 73.6443902439024)","(6307347.0, nan, 73.9409756097561)","(6341405.0, nan, 74.2870731707317)","(6338632.0, nan, 74.6656097560976)","(6302504.0, nan, 74.7853658536585)","(6281174.0, nan, 75.2380487804878)","(6281738.0, nan, 75.1873170731707)","(6294365.0, nan, 75.4660975609756)","(6319408.0, 19410.0928361755, 75.4592682926829)","(6354074.0, 17679.4938379664, 75.6931707317073)","(6391309.0, 18015.3277978684, 76.0339024390244)","(6418773.0, 17873.8958649656, 76.0312195121951)","(6441865.0, 17005.6548673838, 76.6085365853659)","(6470365.0, 17166.3438388014, 76.7336585365854)","(6504124.0, 24480.195759419, 76.8990243902439)","(6545106.0, 30466.2792778597, 77.1975609756098)","(6593386.0, 32717.9204479296, 77.2265853658537)","(6646912.0, 31334.5002221937, 77.4212195121951)","(6715519.0, 39609.0070897428, 77.2424390243902)","(6799978.0, 39577.9787463026, 77.5146341463415)","(6875364.0, 40747.3942181029, 77.8060975609756)","(6938265.0, 39269.671190289, 78.0853658536586)","(6993795.0, 43128.2506095156, 78.35)","(7040687.0, 50157.2819634264, 78.4170731707317)","(7071850.0, 48144.1896123324, 78.8960975609756)","(7088906.0, 41631.0802916352, 79.079512195122)","(7110001.0, 42739.7358562277, 79.3243902439025)","(7143991.0, 41787.4859297913, 79.580487804878)","(7184250.0, 38951.0539661934, 79.6804878048781)","(7229854.0, 39727.4935590374, 80.1804878048781)","(7284753.0, 42578.5582470884, 80.3853658536585)","(7339001.0, 49472.2033065046, 80.5365853658537)","(7389625.0, 54878.6548860307, 81.0878048780488)","(7437115.0, 56547.8452841516, 81.2365853658537)","(7483934.0, 59298.5677631574, 81.490243902439)","(7551117.0, 65361.3795854302, 81.7414634146342)","(7647675.0, 74572.9208865259, 81.9926829268293)","(7743831.0, 72080.4055537325, 82.0439024390244)","(7824909.0, 77117.126014204, 82.2463414634147)","(7912398.0, 91254.0347609687, 82.6951219512195)","(7996861.0, 86547.6708907265, 82.6975609756098)","(8089346.0, 88109.4867524037, 82.7975609756098)","(8188649.0, 89684.7075795936, 83.1975609756098)","(8282396.0, 84776.1421659748, 82.8975609756098)","(8373338.0, 83073.2800824812, 83.6024390243903)","(8451840.0, 83352.0886533412, 83.5512195121951)","(8514329.0, 86429.5008163592, 83.7536585365854)","(8575280.0, 85300.3479700289, 83.7048780487805)","(8636896.0, 86601.5564126289, nan)"
Channel Islands,CHI,Europe & Central Asia,"(109419.0, nan, 70.739)","(110398.0, nan, 70.833)","(111464.0, nan, 70.928)","(112591.0, nan, 71.03)","(113777.0, nan, 71.143)","(114989.0, nan, 71.265)","(116229.0, nan, 71.391)","(117469.0, nan, 71.512)","(118725.0, nan, 71.623)","(119975.0, nan, 71.726)","(121200.0, nan, 71.823)","(122405.0, nan, 71.919)","(123611.0, nan, 72.02)","(124722.0, nan, 72.133)","(125680.0, nan, 72.261)","(126420.0, nan, 72.409)","(126908.0, nan, 72.58)","(127186.0, nan, 72.773)","(127395.0, nan, 72.983)","(127691.0, nan, 73.208)","(128204.0, nan, 73.439)","(128986.0, nan, 73.668)","(129976.0, nan, 73.89)","(131153.0, nan, 74.101)","(132445.0, nan, 74.3)","(133800.0, nan, 74.486)","(135242.0, nan, 74.66)","(136762.0, nan, 74.829)","(138250.0, nan, 75.004)","(139580.0, nan, 75.192)","(140677.0, nan, 75.41)","(141469.0, nan, 75.673)","(142006.0, nan, 75.988)","(142407.0, nan, 76.351)","(142867.0, nan, 76.755)","(143480.0, nan, 77.184)","(144348.0, nan, 77.616)","(145387.0, nan, 78.028)","(146500.0, 40584.8285093159, 78.406)","(147553.0, 42444.0076233736, 78.742)","(148439.0, 43382.8268494819, 79.037)","(149097.0, 41804.3709161492, 79.3)","(149591.0, 44545.9223131619, 79.548)","(150070.0, 48858.8318648576, 79.795)","(150722.0, 56751.126936232, 80.045)","(151674.0, 58198.9841849805, 80.298)","(152999.0, 63243.3738330439, 80.553)","(154644.0, 74458.7946660519, 80.802)","(156441.0, nan, 81.041)","(158187.0, nan, 81.268)","(159718.0, nan, 81.483)","(160990.0, nan, 81.688)","(162051.0, nan, 81.883)","(163039.0, nan, 82.071)","(164107.0, nan, 82.252)","(165387.0, nan, 82.429)","(166922.0, nan, 82.6)","(168666.0, nan, 82.766)","(170496.0, nan, 82.928)","(172264.0, nan, 83.086)","(173859.0, nan, nan)"
Chile,CHL,Latin America & Caribbean,"(8132988.0, nan, 57.219)","(8303804.0, nan, 57.616)","(8476895.0, 638.945359978238, 58.031)","(8650390.0, 655.252248742542, 58.467)","(8821855.0, 678.12810640018, 58.927)","(8989607.0, 670.395685818079, 59.415)","(9152848.0, 772.725716153161, 59.931)","(9312091.0, 753.127957880928, 60.474)","(9468851.0, 756.912000888148, 61.044)","(9625304.0, 870.319838548041, 61.637)","(9783134.0, 932.861569157008, 62.254)","(9942716.0, 1094.68225322923, 62.895)","(10103675.0, 1173.21838912003, 63.555)","(10265827.0, 1640.02969981711, 64.231)","(10428803.0, 1554.38780304276, 64.917)","(10592310.0, 719.599157534302, 65.609)","(10756876.0, 961.424604043232, 66.307)","(10922777.0, 1278.3281597291, 67.005)","(11089165.0, 1441.94208564388, 67.698)","(11254877.0, 1937.26657210336, 68.378)","(11419350.0, 2542.76380632828, 69.033)","(11582020.0, 2979.60787872839, 69.655)","(11743909.0, 2156.51306610576, 70.239)","(11907955.0, 1709.44206937403, 70.782)","(12078137.0, 1624.63196763634, 71.282)","(12257238.0, 1444.28013827502, 71.737)","(12445833.0, 1517.86134513797, 72.148)","(12642917.0, 1760.30639801716, 72.524)","(12847712.0, 2026.83791425817, 72.872)","(13058758.0, 2288.55494089948, 73.198)","(13274617.0, 2494.5267963643, 73.509)","(13495255.0, 2803.56271373259, 73.808)","(13719818.0, 3350.21408876441, 74.1)","(13944934.0, 3535.17436010228, 74.386)","(14166346.0, 4024.21522782414, 74.671)","(14380864.0, 5107.27751262395, 74.957)","(14587367.0, 5349.80522678303, 75.244)","(14786227.0, 5745.37107556024, 75.53)","(14977736.0, 5446.5795218588, 75.813)","(15162801.0, 4957.77755686645, 76.092)","(15342350.0, 5074.90261608209, 76.366)","(15516112.0, 4574.59471550439, 76.634)","(15684413.0, 4446.24937095849, 76.894)","(15849649.0, 4772.5637229948, 77.146)","(16014972.0, 6194.85272016783, 77.391)","(16182713.0, 7598.52887745539, 77.63)","(16354507.0, 9464.54850676993, 77.865)","(16530201.0, 10502.3507082131, 78.099)","(16708255.0, 10751.4816046663, 78.33)","(16886184.0, 10208.9079714292, 78.558)","(17062531.0, 12808.0383396854, 78.779)","(17233584.0, 14637.2334407887, 78.986)","(17400359.0, 15351.5407387113, 79.176)","(17571511.0, 15842.9364836273, 79.349)","(17758969.0, 14670.98891427, 79.504)","(17969356.0, 13574.1692377497, 79.646)","(18209072.0, 13753.592148512, 79.779)","(18470435.0, 14998.8170563212, 79.909)","(18729166.0, 15888.144355398, 80.042)","(18952035.0, 14741.7144039954, 80.181)","(19116209.0, 13231.7042069383, nan)"
