,year,exporter_iso_3,importer_iso_3,product_category,trade_value_thousands_usd,quantity_metric_tones,exporter_3digit,importer_3digit,exporter_country_name,importer_country_name
0,2012,8,70,Portland white,4.185,127.929,ALB,BIH,Albania,Bosnia Herzegovina
1,2012,8,70,Portland not white,189.314,2470.054,ALB,BIH,Albania,Bosnia Herzegovina
2,2012,40,70,Portland white,0.293,0.396,AUT,BIH,Austria,Bosnia Herzegovina
3,2012,40,70,Portland not white,0.442,1.067,AUT,BIH,Austria,Bosnia Herzegovina
4,2012,100,70,Portland white,10.833,13.86,BGR,BIH,Bulgaria,Bosnia Herzegovina
5,2012,191,70,Portland white,31.878,268.622,HRV,BIH,Croatia,Bosnia Herzegovina
6,2012,191,70,Portland not white,30121.555,357318.096,HRV,BIH,Croatia,Bosnia Herzegovina
7,2012,208,70,Portland white,0.382,1.5,DNK,BIH,Denmark,Bosnia Herzegovina
8,2012,276,70,Portland not white,0.013,0.019,DEU,BIH,Germany,Bosnia Herzegovina
9,2012,348,70,Portland not white,2043.334,28995.279,HUN,BIH,Hungary,Bosnia Herzegovina
10,2012,499,70,Portland not white,130.615,1582.804,MNE,BIH,Montenegro,Bosnia Herzegovina
11,2012,528,70,Portland not white,3.956,,NLD,BIH,Netherlands,Bosnia Herzegovina
12,2012,616,70,Portland not white,24.731,24.0,POL,BIH,Poland,Bosnia Herzegovina
13,2012,688,70,Portland not white,200.191,1914.04,SRB,BIH,Serbia,Bosnia Herzegovina
14,2012,703,70,Portland white,225.918,1229.626,SVK,BIH,Slovakia,Bosnia Herzegovina
15,2012,705,70,Portland white,26.896,281.985,SVN,BIH,Slovenia,Bosnia Herzegovina
16,2012,724,70,Portland white,162.707,805.999,ESP,BIH,Spain,Bosnia Herzegovina
17,2012,792,70,Portland white,24.421,192.0,TUR,BIH,Turkey,Bosnia Herzegovina
18,2012,792,70,Portland white,24.421,192.0,TUR,BIH,Turkey,Bosnia Herzegovina
19,2012,792,70,Portland white,24.421,192.0,TUR,BIH,Turkey,Bosnia Herzegovina
20,2012,792,70,Portland white,24.421,192.0,TUR,BIH,Turkey,Bosnia Herzegovina
21,2012,807,70,Portland white,4.369,24.0,MKD,BIH,The Former Yugoslav Republic of Macedonia,Bosnia Herzegovina
22,2012,826,70,Portland white,21.327,42.645,GBR,BIH,United Kingdom,Bosnia Herzegovina
23,2012,8,434,Portland not white,10252.112,186959.0,ALB,LBY,Albania,Libya
24,2012,191,434,Portland not white,728.376,12952.1,HRV,LBY,Croatia,Libya
25,2012,724,434,Portland white,322.109,1700.32,ESP,LBY,Spain,Libya
26,2012,724,434,Portland not white,781.506,16654.54,ESP,LBY,Spain,Libya
27,2012,792,434,Portland not white,54513.508,969519.97,TUR,LBY,Turkey,Libya
28,2012,792,434,Portland not white,54513.508,969519.97,TUR,LBY,Turkey,Libya
29,2012,792,434,Portland not white,54513.508,969519.97,TUR,LBY,Turkey,Libya
30,2012,792,434,Portland not white,54513.508,969519.97,TUR,LBY,Turkey,Libya
31,2012,826,434,Portland not white,8.249,5.5,GBR,LBY,United Kingdom,Libya
32,2012,196,434,Portland not white,3376.838,73896.0,CYP,LBY,Cyprus,Libya
33,2012,196,434,Portland not white,3376.838,73896.0,CYP,LBY,Cyprus,Libya
34,2012,196,434,Portland not white,3376.838,73896.0,CYP,LBY,Cyprus,Libya
35,2012,196,434,Portland not white,3376.838,73896.0,CYP,LBY,Cyprus,Libya
36,2012,300,434,Portland not white,22144.058,478337.0,GRC,LBY,Greece,Libya
37,2012,470,434,Portland not white,3.803,3.415,MLT,LBY,Malta,Libya
38,2012,788,434,Portland white,9047.455,91722.0,TUN,LBY,Tunisia,Libya
39,2012,788,434,Portland not white,8253.717,110293.75,TUN,LBY,Tunisia,Libya
40,2012,8,499,Portland white,4011.616,63315.7,ALB,MNE,Albania,Montenegro
41,2012,8,499,Portland not white,8107.513,82852.051,ALB,MNE,Albania,Montenegro
42,2012,191,499,Portland white,2.536,12.8,HRV,MNE,Croatia,Montenegro
43,2012,191,499,Portland not white,3564.498,101962.659,HRV,MNE,Croatia,Montenegro
44,2012,688,499,Portland white,0.16,0.272,SRB,MNE,Serbia,Montenegro
45,2012,688,499,Portland not white,7217.017,80977.069,SRB,MNE,Serbia,Montenegro
46,2012,705,499,Portland white,0.109,0.26,SVN,MNE,Slovenia,Montenegro
47,2012,724,499,Portland white,38.974,208.782,ESP,MNE,Spain,Montenegro
48,2012,792,499,Portland white,13.105,72.0,TUR,MNE,Turkey,Montenegro
49,2012,792,499,Portland white,13.105,72.0,TUR,MNE,Turkey,Montenegro
50,2012,792,499,Portland white,13.105,72.0,TUR,MNE,Turkey,Montenegro
51,2012,792,499,Portland white,13.105,72.0,TUR,MNE,Turkey,Montenegro
52,2012,300,499,Portland white,3.886,25.0,GRC,MNE,Greece,Montenegro
53,2012,300,499,Portland not white,1189.514,18279.5,GRC,MNE,Greece,Montenegro
54,2012,70,499,Portland white,21.132,95.325,BIH,MNE,Bosnia Herzegovina,Montenegro
55,2012,70,499,Portland not white,54.978,294.256,BIH,MNE,Bosnia Herzegovina,Montenegro
56,2012,818,499,Portland white,7.228,50.4,EGY,MNE,Egypt,Montenegro
57,2012,818,499,Portland not white,3.884,23.8,EGY,MNE,Egypt,Montenegro
58,2012,8,688,Portland white,430.864,31913.258,ALB,SRB,Albania,Serbia
59,2012,8,688,Portland not white,8203.793,412974.922,ALB,SRB,Albania,Serbia
60,2012,100,688,Portland white,154.217,916.56,BGR,SRB,Bulgaria,Serbia
61,2012,100,688,Portland not white,2.773,24.15,BGR,SRB,Bulgaria,Serbia
62,2012,191,688,Portland not white,10473.258,112626.999,HRV,SRB,Croatia,Serbia
63,2012,276,688,Portland not white,41.013,153.088,DEU,SRB,Germany,Serbia
64,2012,528,688,Portland not white,1.581,,NLD,SRB,Netherlands,Serbia
65,2012,616,688,Portland not white,119.274,196.325,POL,SRB,Poland,Serbia
66,2012,703,688,Portland white,638.791,3091.859,SVK,SRB,Slovakia,Serbia
67,2012,705,688,Portland white,0.207,0.19,SVN,SRB,Slovenia,Serbia
68,2012,705,688,Portland not white,69.789,847.61,SVN,SRB,Slovenia,Serbia
69,2012,792,688,Portland white,73.007,501.233,TUR,SRB,Turkey,Serbia
70,2012,792,688,Portland white,73.007,501.233,TUR,SRB,Turkey,Serbia
71,2012,792,688,Portland white,73.007,501.233,TUR,SRB,Turkey,Serbia
72,2012,792,688,Portland white,73.007,501.233,TUR,SRB,Turkey,Serbia
73,2012,792,688,Portland not white,5.451,49.35,TUR,SRB,Turkey,Serbia
74,2012,792,688,Portland not white,5.451,49.35,TUR,SRB,Turkey,Serbia
75,2012,792,688,Portland not white,5.451,49.35,TUR,SRB,Turkey,Serbia
76,2012,792,688,Portland not white,5.451,49.35,TUR,SRB,Turkey,Serbia
77,2012,807,688,Portland white,73.511,483.0,MKD,SRB,The Former Yugoslav Republic of Macedonia,Serbia
78,2012,807,688,Portland not white,11575.108,133225.84,MKD,SRB,The Former Yugoslav Republic of Macedonia,Serbia
79,2012,826,688,Portland white,21.405,44.907,GBR,SRB,United Kingdom,Serbia
