,year,exporter_iso_3,importer_iso_3,product_category,trade_value_thousands_usd,quantity_metric_tones,exporter_3digit,importer_3digit,exporter_country_name,importer_country_name
0,2014,8,56,Portland not white,0.266,0.038,ALB,BEL,Albania,Belgium
1,2014,40,56,Portland not white,2.126,16.448,AUT,BEL,Austria,Belgium
2,2014,156,56,Portland white,0.882,0.882,CHN,BEL,China,Belgium
3,2014,208,56,Portland white,1375.598,7149.381,DNK,BEL,Denmark,Belgium
4,2014,208,56,Portland not white,326.33,1675.644,DNK,BEL,Denmark,Belgium
5,2014,276,56,Portland white,1628.684,1637.271,DEU,BEL,Germany,Belgium
6,2014,276,56,Portland not white,29572.202,344444.827,DEU,BEL,Germany,Belgium
7,2014,288,56,Portland not white,0.245,0.012,GHA,BEL,Ghana,Belgium
8,2014,300,56,Portland not white,964.137,4392.408,GRC,BEL,Greece,Belgium
9,2014,360,56,Portland not white,0.13,0.499,IDN,BEL,Indonesia,Belgium
10,2014,372,56,Portland not white,16939.858,282741.0,IRL,BEL,Ireland,Belgium
11,2014,442,56,Portland white,1241.313,6450.008,LUX,BEL,Luxembourg,Belgium
12,2014,442,56,Portland not white,3734.369,24749.579,LUX,BEL,Luxembourg,Belgium
13,2014,470,56,Portland not white,1992.758,26603.541,MLT,BEL,Malta,Belgium
14,2014,528,56,Portland white,2359.946,27927.314,NLD,BEL,Netherlands,Belgium
15,2014,528,56,Portland not white,15682.477,92961.903,NLD,BEL,Netherlands,Belgium
16,2014,616,56,Portland white,0.518,0.32,POL,BEL,Poland,Belgium
17,2014,616,56,Portland not white,1202.989,1180.08,POL,BEL,Poland,Belgium
18,2014,620,56,Portland not white,9120.725,131635.83,PRT,BEL,Portugal,Belgium
19,2014,642,56,Portland not white,0.937,0.75,ROU,BEL,Romania,Belgium
20,2014,682,56,Portland not white,0.037,0.002,SAU,BEL,Saudi Arabia,Belgium
21,2014,703,56,Portland white,48.418,298.557,SVK,BEL,Slovakia,Belgium
22,2014,710,56,Portland white,9.228,18.342,ZAF,BEL,South Africa,Belgium
23,2014,724,56,Portland white,12.268,115.372,ESP,BEL,Spain,Belgium
24,2014,724,56,Portland not white,6.462,8.658,ESP,BEL,Spain,Belgium
25,2014,792,56,Portland white,264.427,2830.005,TUR,BEL,Turkey,Belgium
26,2014,792,56,Portland white,264.427,2830.005,TUR,BEL,Turkey,Belgium
27,2014,792,56,Portland white,264.427,2830.005,TUR,BEL,Turkey,Belgium
28,2014,792,56,Portland white,264.427,2830.005,TUR,BEL,Turkey,Belgium
29,2014,826,56,Portland not white,97.485,255.721,GBR,BEL,United Kingdom,Belgium
30,2014,8,70,Portland white,4.219,50.7,ALB,BIH,Albania,Bosnia Herzegovina
31,2014,8,70,Portland not white,218.912,3215.1,ALB,BIH,Albania,Bosnia Herzegovina
32,2014,40,70,Portland white,0.076,0.08,AUT,BIH,Austria,Bosnia Herzegovina
33,2014,40,70,Portland not white,0.479,1.288,AUT,BIH,Austria,Bosnia Herzegovina
34,2014,276,70,Portland white,0.466,5.8,DEU,BIH,Germany,Bosnia Herzegovina
35,2014,276,70,Portland not white,4.278,4.043,DEU,BIH,Germany,Bosnia Herzegovina
36,2014,616,70,Portland not white,19.322,19.0,POL,BIH,Poland,Bosnia Herzegovina
37,2014,703,70,Portland white,277.917,1578.74,SVK,BIH,Slovakia,Bosnia Herzegovina
38,2014,724,70,Portland white,78.195,435.432,ESP,BIH,Spain,Bosnia Herzegovina
39,2014,724,70,Portland not white,9.39,51.2,ESP,BIH,Spain,Bosnia Herzegovina
40,2014,792,70,Portland white,48.019,336.0,TUR,BIH,Turkey,Bosnia Herzegovina
41,2014,792,70,Portland white,48.019,336.0,TUR,BIH,Turkey,Bosnia Herzegovina
42,2014,792,70,Portland white,48.019,336.0,TUR,BIH,Turkey,Bosnia Herzegovina
43,2014,792,70,Portland white,48.019,336.0,TUR,BIH,Turkey,Bosnia Herzegovina
44,2014,56,70,Portland white,1.971,2.25,BEL,BIH,Belgium,Bosnia Herzegovina
45,2014,191,70,Portland white,24.657,177.113,HRV,BIH,Croatia,Bosnia Herzegovina
46,2014,191,70,Portland not white,36434.592,435758.689,HRV,BIH,Croatia,Bosnia Herzegovina
47,2014,348,70,Portland not white,3813.556,44347.048,HUN,BIH,Hungary,Bosnia Herzegovina
48,2014,499,70,Portland not white,12.961,239.311,MNE,BIH,Montenegro,Bosnia Herzegovina
49,2014,688,70,Portland white,4.971,25.45,SRB,BIH,Serbia,Bosnia Herzegovina
50,2014,688,70,Portland not white,337.203,3236.554,SRB,BIH,Serbia,Bosnia Herzegovina
51,2014,705,70,Portland white,12.439,155.63,SVN,BIH,Slovenia,Bosnia Herzegovina
52,2014,705,70,Portland not white,195.152,1416.327,SVN,BIH,Slovenia,Bosnia Herzegovina
53,2014,8,499,Portland white,91.674,972.41,ALB,MNE,Albania,Montenegro
54,2014,8,499,Portland not white,11021.392,146148.6,ALB,MNE,Albania,Montenegro
55,2014,300,499,Portland not white,924.69,12922.521,GRC,MNE,Greece,Montenegro
56,2014,724,499,Portland white,68.803,619.2,ESP,MNE,Spain,Montenegro
57,2014,792,499,Portland white,13.437,72.0,TUR,MNE,Turkey,Montenegro
58,2014,792,499,Portland white,13.437,72.0,TUR,MNE,Turkey,Montenegro
