,year,exporter_iso_3,importer_iso_3,product_category,trade_value_thousands_usd,quantity_metric_tones,exporter_3digit,importer_3digit,exporter_country_name,importer_country_name
0,2013,8,12,Portland not white,368.831,4820.0,ALB,DZA,Albania,Algeria
1,2013,56,12,Portland not white,769.407,8716.477,BEL,DZA,Belgium,Algeria
2,2013,156,12,Portland white,1.223,8.827,CHN,DZA,China,Algeria
3,2013,156,12,Portland not white,4.869,4.844,CHN,DZA,China,Algeria
4,2013,196,12,Portland not white,1868.968,17778.313,CYP,DZA,Cyprus,Algeria
5,2013,196,12,Portland not white,1868.968,17778.313,CYP,DZA,Cyprus,Algeria
6,2013,196,12,Portland not white,1868.968,17778.313,CYP,DZA,Cyprus,Algeria
7,2013,196,12,Portland not white,1868.968,17778.313,CYP,DZA,Cyprus,Algeria
8,2013,276,12,Portland not white,260.928,2001.717,DEU,DZA,Germany,Algeria
9,2013,300,12,Portland white,1266.755,32254.0,GRC,DZA,Greece,Algeria
10,2013,300,12,Portland not white,46411.976,604136.932,GRC,DZA,Greece,Algeria
11,2013,504,12,Portland not white,4773.424,51983.5,MAR,DZA,Morocco,Algeria
12,2013,620,12,Portland not white,105426.587,1270823.609,PRT,DZA,Portugal,Algeria
13,2013,682,12,Portland not white,34.393,37.962,SAU,DZA,Saudi Arabia,Algeria
14,2013,724,12,Portland white,1642.308,23982.971,ESP,DZA,Spain,Algeria
15,2013,724,12,Portland not white,79038.096,1069919.948,ESP,DZA,Spain,Algeria
16,2013,752,12,Portland not white,247.583,4777.837,SWE,DZA,Sweden,Algeria
17,2013,762,12,Portland not white,1.782,0.413,TJK,DZA,Tajikistan,Algeria
18,2013,784,12,Portland not white,16.885,52.72,ARE,DZA,United Arab Emirates,Algeria
19,2013,788,12,Portland white,12680.31,140437.761,TUN,DZA,Tunisia,Algeria
20,2013,788,12,Portland not white,25066.916,214843.215,TUN,DZA,Tunisia,Algeria
21,2013,792,12,Portland white,28.947,199.496,TUR,DZA,Turkey,Algeria
22,2013,792,12,Portland white,28.947,199.496,TUR,DZA,Turkey,Algeria
23,2013,792,12,Portland white,28.947,199.496,TUR,DZA,Turkey,Algeria
24,2013,792,12,Portland white,28.947,199.496,TUR,DZA,Turkey,Algeria
25,2013,792,12,Portland not white,10.7,166.319,TUR,DZA,Turkey,Algeria
26,2013,792,12,Portland not white,10.7,166.319,TUR,DZA,Turkey,Algeria
27,2013,792,12,Portland not white,10.7,166.319,TUR,DZA,Turkey,Algeria
28,2013,792,12,Portland not white,10.7,166.319,TUR,DZA,Turkey,Algeria
29,2013,800,12,Portland not white,0.279,1.5,UGA,DZA,Uganda,Algeria
30,2013,826,12,Portland white,3.128,7.0,GBR,DZA,United Kingdom,Algeria
31,2013,826,12,Portland not white,26.696,0.956,GBR,DZA,United Kingdom,Algeria
32,2013,8,56,Portland not white,0.069,0.065,ALB,BEL,Albania,Belgium
33,2013,156,56,Portland white,0.132,0.108,CHN,BEL,China,Belgium
34,2013,276,56,Portland white,2025.629,1791.975,DEU,BEL,Germany,Belgium
35,2013,276,56,Portland not white,35566.453,400028.904,DEU,BEL,Germany,Belgium
36,2013,300,56,Portland not white,6841.836,85610.465,GRC,BEL,Greece,Belgium
37,2013,620,56,Portland not white,11044.949,168565.91,PRT,BEL,Portugal,Belgium
38,2013,724,56,Portland white,27.022,929.966,ESP,BEL,Spain,Belgium
39,2013,724,56,Portland not white,0.293,2.205,ESP,BEL,Spain,Belgium
40,2013,784,56,Portland white,0.735,3.954,ARE,BEL,United Arab Emirates,Belgium
41,2013,792,56,Portland white,146.836,1229.985,TUR,BEL,Turkey,Belgium
42,2013,792,56,Portland white,146.836,1229.985,TUR,BEL,Turkey,Belgium
43,2013,792,56,Portland white,146.836,1229.985,TUR,BEL,Turkey,Belgium
44,2013,792,56,Portland white,146.836,1229.985,TUR,BEL,Turkey,Belgium
45,2013,32,56,Portland not white,0.004,0.049,ARG,BEL,Argentina,Belgium
46,2013,40,56,Portland not white,2.686,23.878,AUT,BEL,Austria,Belgium
47,2013,203,56,Portland white,0.204,0.091,CZE,BEL,Czechia,Belgium
48,2013,208,56,Portland white,1048.733,5619.323,DNK,BEL,Denmark,Belgium
49,2013,208,56,Portland not white,97.264,504.432,DNK,BEL,Denmark,Belgium
50,2013,360,56,Portland not white,0.388,0.194,IDN,BEL,Indonesia,Belgium
51,2013,372,56,Portland not white,11834.074,199878.0,IRL,BEL,Ireland,Belgium
52,2013,376,56,Portland not white,4.694,15.66,ISR,BEL,Israel,Belgium
53,2013,442,56,Portland white,1870.106,9490.214,LUX,BEL,Luxembourg,Belgium
54,2013,442,56,Portland not white,5184.096,34571.752,LUX,BEL,Luxembourg,Belgium
55,2013,470,56,Portland not white,398.454,1676.349,MLT,BEL,Malta,Belgium
56,2013,528,56,Portland white,2493.115,26310.286,NLD,BEL,Netherlands,Belgium
57,2013,528,56,Portland not white,16917.169,67562.686,NLD,BEL,Netherlands,Belgium
58,2013,616,56,Portland white,0.143,0.048,POL,BEL,Poland,Belgium
59,2013,616,56,Portland not white,2024.483,1974.645,POL,BEL,Poland,Belgium
60,2013,642,56,Portland not white,0.618,4.85,ROU,BEL,Romania,Belgium
61,2013,703,56,Portland white,86.055,373.541,SVK,BEL,Slovakia,Belgium
62,2013,710,56,Portland white,22.926,29.258,ZAF,BEL,South Africa,Belgium
63,2013,764,56,Portland not white,0.032,3.232,THA,BEL,Thailand,Belgium
64,2013,8,70,Portland white,7.674,190.706,ALB,BIH,Albania,Bosnia Herzegovina
