,year,exporter_iso_3,importer_iso_3,product_category,trade_value_thousands_usd,quantity_metric_tones,exporter_3digit,importer_3digit,exporter_country_name,importer_country_name
0,2017,8,70,Portland not white,171.427,3036.3,ALB,BIH,Albania,Bosnia Herzegovina
1,2017,40,70,Portland white,0.062,0.647,AUT,BIH,Austria,Bosnia Herzegovina
2,2017,191,70,Portland white,143.705,1320.722,HRV,BIH,Croatia,Bosnia Herzegovina
3,2017,191,70,Portland not white,28130.254,493885.007,HRV,BIH,Croatia,Bosnia Herzegovina
4,2017,276,70,Portland not white,0.058,0.054,DEU,BIH,Germany,Bosnia Herzegovina
5,2017,348,70,Portland not white,78.936,1179.24,HUN,BIH,Hungary,Bosnia Herzegovina
6,2017,616,70,Portland white,0.033,0.05,POL,BIH,Poland,Bosnia Herzegovina
7,2017,642,70,Portland not white,0.019,0.081,ROU,BIH,Romania,Bosnia Herzegovina
8,2017,688,70,Portland not white,342.413,3744.3,SRB,BIH,Serbia,Bosnia Herzegovina
9,2017,703,70,Portland white,315.218,2018.929,SVK,BIH,Slovakia,Bosnia Herzegovina
10,2017,705,70,Portland not white,737.157,11641.444,SVN,BIH,Slovenia,Bosnia Herzegovina
11,2017,724,70,Portland white,129.861,813.265,ESP,BIH,Spain,Bosnia Herzegovina
12,2017,792,70,Portland white,41.23,78.552,TUR,BIH,Turkey,Bosnia Herzegovina
13,2017,792,70,Portland white,41.23,78.552,TUR,BIH,Turkey,Bosnia Herzegovina
14,2017,792,70,Portland white,41.23,78.552,TUR,BIH,Turkey,Bosnia Herzegovina
15,2017,792,70,Portland white,41.23,78.552,TUR,BIH,Turkey,Bosnia Herzegovina
16,2017,792,70,Portland not white,3.128,24.0,TUR,BIH,Turkey,Bosnia Herzegovina
17,2017,792,70,Portland not white,3.128,24.0,TUR,BIH,Turkey,Bosnia Herzegovina
18,2017,792,70,Portland not white,3.128,24.0,TUR,BIH,Turkey,Bosnia Herzegovina
19,2017,792,70,Portland not white,3.128,24.0,TUR,BIH,Turkey,Bosnia Herzegovina
20,2017,8,300,Portland not white,10.663,141.864,ALB,GRC,Albania,Greece
21,2017,40,300,Portland not white,45.773,1013.32,AUT,GRC,Austria,Greece
22,2017,276,300,Portland white,1.945,4.734,DEU,GRC,Germany,Greece
23,2017,276,300,Portland not white,6.082,90.503,DEU,GRC,Germany,Greece
24,2017,642,300,Portland not white,0.48,0.682,ROU,GRC,Romania,Greece
25,2017,724,300,Portland white,4.87,351.146,ESP,GRC,Spain,Greece
26,2017,792,300,Portland white,3527.227,34740.81,TUR,GRC,Turkey,Greece
27,2017,792,300,Portland white,3527.227,34740.81,TUR,GRC,Turkey,Greece
28,2017,792,300,Portland white,3527.227,34740.81,TUR,GRC,Turkey,Greece
29,2017,792,300,Portland white,3527.227,34740.81,TUR,GRC,Turkey,Greece
30,2017,792,300,Portland not white,1797.244,28550.792,TUR,GRC,Turkey,Greece
31,2017,792,300,Portland not white,1797.244,28550.792,TUR,GRC,Turkey,Greece
32,2017,792,300,Portland not white,1797.244,28550.792,TUR,GRC,Turkey,Greece
33,2017,792,300,Portland not white,1797.244,28550.792,TUR,GRC,Turkey,Greece
34,2017,76,300,Portland not white,0.175,0.024,BRA,GRC,Brazil,Greece
35,2017,100,300,Portland white,26.114,1236.057,BGR,GRC,Bulgaria,Greece
36,2017,100,300,Portland not white,285.289,6775.646,BGR,GRC,Bulgaria,Greece
37,2017,376,300,Portland white,1.745,0.294,ISR,GRC,Israel,Greece
38,2017,528,300,Portland white,0.005,0.072,NLD,GRC,Netherlands,Greece
39,2017,528,300,Portland not white,0.01,0.121,NLD,GRC,Netherlands,Greece
40,2017,807,300,Portland not white,0.017,0.25,MKD,GRC,The Former Yugoslav Republic of Macedonia,Greece
41,2017,826,300,Portland not white,0.57,0.09,GBR,GRC,United Kingdom,Greece
42,2017,8,470,Portland not white,3627.61,86467.0,ALB,MLT,Albania,Malta
43,2017,191,470,Portland not white,642.494,7151.571,HRV,MLT,Croatia,Malta
44,2017,276,470,Portland white,3.346,0.5,DEU,MLT,Germany,Malta
45,2017,724,470,Portland white,134.894,9497.012,ESP,MLT,Spain,Malta
46,2017,724,470,Portland not white,2486.676,41317.368,ESP,MLT,Spain,Malta
47,2017,792,470,Portland white,109.806,726.506,TUR,MLT,Turkey,Malta
48,2017,792,470,Portland white,109.806,726.506,TUR,MLT,Turkey,Malta
49,2017,792,470,Portland white,109.806,726.506,TUR,MLT,Turkey,Malta
50,2017,792,470,Portland white,109.806,726.506,TUR,MLT,Turkey,Malta
51,2017,528,470,Portland white,0.046,0.681,NLD,MLT,Netherlands,Malta
52,2017,528,470,Portland not white,0.12,0.09,NLD,MLT,Netherlands,Malta
53,2017,826,470,Portland white,1.186,1.2,GBR,MLT,United Kingdom,Malta
54,2017,826,470,Portland not white,0.672,14.177,GBR,MLT,United Kingdom,Malta
55,2017,372,470,Portland not white,2.009,30.0,IRL,MLT,Ireland,Malta
56,2017,788,470,Portland not white,103.734,1510.537,TUN,MLT,Tunisia,Malta
57,2017,804,470,Portland white,0.024,0.25,UKR,MLT,Ukraine,Malta
58,2017,818,470,Portland white,80.258,756.8,EGY,MLT,Egypt,Malta
59,2017,8,499,Portland white,2460.359,38429.4,ALB,MNE,Albania,Montenegro
60,2017,8,499,Portland not white,6409.265,136519.917,ALB,MNE,Albania,Montenegro
61,2017,191,499,Portland white,26.786,697.057,HRV,MNE,Croatia,Montenegro
62,2017,191,499,Portland not white,5037.867,79972.299,HRV,MNE,Croatia,Montenegro
63,2017,688,499,Portland white,0.033,0.125,SRB,MNE,Serbia,Montenegro
64,2017,688,499,Portland not white,12310.756,155242.85,SRB,MNE,Serbia,Montenegro
65,2017,792,499,Portland white,11.646,78.733,TUR,MNE,Turkey,Montenegro
66,2017,792,499,Portland white,11.646,78.733,TUR,MNE,Turkey,Montenegro
67,2017,792,499,Portland white,11.646,78.733,TUR,MNE,Turkey,Montenegro
68,2017,792,499,Portland white,11.646,78.733,TUR,MNE,Turkey,Montenegro
69,2017,792,499,Portland not white,78.219,2727.96,TUR,MNE,Turkey,Montenegro
70,2017,792,499,Portland not white,78.219,2727.96,TUR,MNE,Turkey,Montenegro
71,2017,792,499,Portland not white,78.219,2727.96,TUR,MNE,Turkey,Montenegro
72,2017,792,499,Portland not white,78.219,2727.96,TUR,MNE,Turkey,Montenegro
73,2017,807,499,Portland white,1.877,15.0,MKD,MNE,The Former Yugoslav Republic of Macedonia,Montenegro
74,2017,70,499,Portland white,2.103,49.224,BIH,MNE,Bosnia Herzegovina,Montenegro
75,2017,70,499,Portland not white,0.459,2.345,BIH,MNE,Bosnia Herzegovina,Montenegro
76,2017,156,499,Portland white,0.469,3.0,CHN,MNE,China,Montenegro
77,2017,300,499,Portland not white,243.88,4300.5,GRC,MNE,Greece,Montenegro
78,2017,8,688,Portland not white,4349.018,62964.171,ALB,SRB,Albania,Serbia
